results.address_1,results.city,results.classification,results.code_info,results.country,results.distribution_pattern,event_id,results.initial_firm_notification,results.product_description,results.postal_code,results.product_quantity,results.product_type,results.reason_for_recall,results.recall_number,results.recalling_firm,results.state,results.status,results.voluntary_mandated,recall_initiation_date,report_date,center_classification_date,termination_date
#10  Pictsweet Drive,Bells,Class I,"969 cases of 8 units:   Best if Used by 3/28/2018: 0886KH,0886KQ,0886KR,0886KR,0886KR,0886KT;  Best if Used by 4/5/2018: 0966KB,0966KD,0966KE,0966KJ    6015 Cases of 12 units:  Best if Used by 3/19/2018:  0796KD,0796KE,0796KF,0796KG,0796KJ,0796KK,0796KL,0796KN,0796KP,  0796KQ,0796KR,0796KS,0796KT,0796KU,0796KV;",United States,nationwide,73853,E-Mail,"PICTSWEET(R) Steamables, Seasoned Spring Vegetables, with Asparagus and Ground Peppercorn Seasoning, NET WT 10 OZ (283g), UPC 70560 97826, DISTRIBUTED BY THE PICTSWEET COMPANY, BELLS, TN 38006",38006,79932 units,Food,Products contain onions which were recalled for the possibility of Listeria monocytogenes contamination.,F-1659-2016,The Pictsweet Company,TN,Terminated,Voluntary: Firm initiated,2016-04-09,2016-07-13,2016-07-07,2017-08-03
#10  Pictsweet Drive,Bells,Class I,"a) UPC 11110 89791: Lot Codes:  0896BG, 0896BH, 0896BJ, 0896BK, 0896KA, 0896KB, 0956BA, 0956BB, 0956BC, 0956BD, 0956BG, 0956BJ    b) UPC 70560 96609: Lot Codes:  0826BA, 0826BB, 0826BC, 0826BD, 0826BE, 0826BF, 0826BG, 0826BH, 0906BA, 0906BB",United States,nationwide,73853,E-Mail,"Frozen chopped onions labeled as:    a) Kroger(R) CHOPPED ONIONS, RECIPE BEGINNINGS(R), NET WT 12 OZ (340g), UPC 11110 89791, DISTRIBUTED BY THE KROGER COMPANY, CINCINNATI, OH 45202    b) PICTSWEET(R) Chopped Onions, recipe helper, NET WT 10 OZ (283g), UPC 70560 96609, DISTRIBUTED BY THE PICTSWEET COMPANY, BELLS, TN 38006",38006,81752 units,Food,Products contain onions which were recalled for the possibility of Listeria monocytogenes contamination.,F-1655-2016,The Pictsweet Company,TN,Terminated,Voluntary: Firm initiated,2016-04-09,2016-07-13,2016-07-07,2017-08-03
#10  Pictsweet Drive,Bells,Class I,"BEST IF USED BY: Aug 3 2016, Aug 5 2016, Nov 9 2016, Nov 10 2016; with Mfg Code ### # K # #",United States,nationwide,74123,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Pictsweet(R) Seasoned Summer Vegetables, NET WT 12 OZ. (340g), DISTRIBUTED BY THE PICTSWEET COMPANY, BELLS, TN 38305, UPC 7056097622",38006,"871,952 Cases Total",Food,"Possible Listeria Monocytogenes contamination in bulk vegetables supplied by CRF Frozen Foods, LLC used in manufacturing several Pictsweet products.",F-2232-2016,The Pictsweet Company,TN,Terminated,Voluntary: Firm initiated,2016-05-06,2016-09-21,2016-09-14,2017-08-03
#10  Pictsweet Drive,Bells,Class I,"Sell by SEP-17: 0896BR, 0896BS, 0896BU,0896BT",United States,nationwide,73853,E-Mail,"Kroger(R) CAJUN STYLE MIREPOIX BLEND, onions, celery, and green bell peppers, RECIPE BEGINNINGS(R), NET WT 12 OZ (340g), UPC 11110 89787, DISTRIBUTED BY THE KROGER COMPANY, CINCINNATI, OH 45202",38006,11704 units,Food,Products contain onions which were recalled for the possibility of Listeria monocytogenes contamination.,F-1656-2016,The Pictsweet Company,TN,Terminated,Voluntary: Firm initiated,2016-04-09,2016-07-13,2016-07-07,2017-08-03
07090 68th St,South Haven,Class III,"Catalog number: #65: UPC 771733110372; and lot numbers: 11156,12104, 12222, and 12290.",United States,nationwide,61842,Letter,Middle-Age Energy Booster bottles of 60 tablets taken orally Nokomis Research Inc  Bell Lifestyle Products #65,49090-8119,1981 bottles,Food,"The products contain synthetic equivalents of spermine and/or spermidine, which are constituents or extracts of an herb or other botanical, and the that a synthetic copy of a constituent or extract of an herb or other botanical is not a dietary ingredient, and such ingredients must be approved for use in supplements.  The use has not been approved.",F-1732-2012,"H & L Jerch Sales, Inc.",MI,Terminated,Voluntary: Firm initiated,2012-06-11,2012-07-18,2012-07-06,2013-02-12
1 Blue Bunny Dr SW,Le Mars,Class I,UPC 070640014644  LOT 60001 MM 19115 6228  BEST IF USED BY 02/13/18; and    UPC 070640014651  (High altitude)  LOT 60001 MM 19115 6229  BEST IF USED BY 02/14/18,United States,"Product was distributed to NE, OK, KS, MO, AZ, and TX.",75405,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Blue Bunny Ice Cream Hoppin' Holidoodle ice cream 46 fl. oz. UPC 070640014644 and UPC 070640014651 (high altitude).,51031-2207,7192 cases,Food,Product may be contaminated with Listeria monocytogenes.,F-0479-2017,"Wells Enterprises, Inc.",IA,Terminated,Voluntary: Firm initiated,2016-10-10,2016-11-30,2016-11-18,2017-01-05
1 Coca Cola Plz Nw,Atlanta,Class II,"UPC: 014054 13505 2, Production Date: 09/19/14 and 09/20/14, Best By Date: DEC 18 14 and DEC 19 14 (15.2oz) and UPC: 0 14054 13504 5, Production Date: 09/13/214 and 09/14/14, Best By Date: DEC 12 14 and DEC 13 14 (32.0 oz)",United States,U.S. Nationwide,69801,Visit,"Odwalla Chocolate Protein Shake, 15.2 fl. oz, and 32 fl. oz bottles, Distributed by: Odwalla, Inc., Dinuba, CA 93618.",30313-2420,"30,390 units (32oz) and 158,880 units (15.2oz) total",Food,There is the potential that some of the bottles could exhibit spoilage before end of shelf life.,F-0711-2015,Coca-Cola Company  (The),GA,Terminated,Voluntary: Firm initiated,2014-10-23,2014-12-24,2014-12-12,2015-01-13
1 Dangelo Dr,Marlborough,Class I,Date Code:   MFG: 23/JUL/12,United States,"AL,FL,GA,IL,KY,MS,NC,NE,NM,NV,OH,OK,SC,TN,TX,WI",62680,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Lee's Cole Slaw Dressing 40oz pouches  Product Code: FQ2103,01752-3066,220 cases,Food,Products manufactured with Gills Onions recalled due to potential for Listeria monocytogenes,F-1866-2012,"Ken's Foods, Inc.",MA,Terminated,Voluntary: Firm initiated,2012-07-26,2012-08-15,2012-08-08,2016-03-22
1 E Armour Blvd,Kansas City,Class II,batch and best buy date per UPC:  UPC 888109110499:  D033124000 6/4/2016  D040624000 6/10/2016  D040724000 6/11/2016  D041324000 6/17/2016  D041424000 7/6/2016    UPC 888109010492:    D033124000 6/4/2016  D040624000 6/10/2016  D041324000 6/17/2016  D041424000 6/18/2016  D040724000 6/11/2016,United States,Nationwide distribution.  No foreign or military/government distribution.,74287,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Hostess Chocodile Twinkies, chocolate covered sponge cake with creamy filling, packaged in 9-ct multi-packs of individual cakes, net wt. 13.02 oz (396 g), UPC 888109110499; and 6-ct. single serving fun size snack packs, individual pack net wt. 2.89 oz (82 g), UPC 888109010492.  The responsible firm name on the label is Hostess Brands LLC, Kansas City, MO 64141.",64111-1201,"591,609 units",Food,Product is manufactured with flour known to contain peanut allergen and is not labeled to contain peanuts.,F-2113-2016,"Hostess Brands, LLC",MO,Terminated,Voluntary: Firm initiated,2016-06-03,2016-09-21,2016-09-13,2017-12-01
1 Fun Pl,Sioux City,Class II,Best By 03/31/15  (Julian date) 4090,United States,"Distribution was made to CA, CO, FL, GA, IA, IL, KS, KY, MA, MI, MO, NE, NJ, NY, OH, OK, OR, PA, SD, TX, WA and WI.",68002,Letter,"Jolly Time Microwave popcorn, Extra Butter, 3/3-oz bags/carton. The cartons are packaged 12-cartons/case. Individual carton - UPC 028190008477, on the 12 count case - UPC 10028190008474 and 48 ct shipper with UPC 128190488474    American Pop Corn Company, Sioux City, IA.",51108-1300,148 cases,Food,The product has the potential to be contaminated with stainless steel metal fragments.,F-1884-2014,American Pop Corn Co,IA,Terminated,Voluntary: Firm initiated,2014-04-11,2014-04-30,2014-04-23,2014-07-28
